Departing_Port,Year,Month,MaxTemp,MinTemp
Albury,2017,1,33.7,16.9
Albury,2018,1,34.3,17.9
Albury,2019,1,37.4,20.7
Albury,2020,1,33.1,17.1
Albury,2021,1,31.5,16.1
Albury,2022,1,30.7,18.3
Albury,2023,1,31.0,16.6
Albury,2024,1,31.5,17.3
Albury,2017,2,31.4,15.1
Albury,2018,2,32.1,15.5
Albury,2019,2,31.8,15.5
Albury,2020,2,31.0,17.3
Albury,2021,2,28.7,15.3
Albury,2022,2,29.1,15.6
Albury,2023,2,29.6,14.8
Albury,2024,2,33.4,16.9
Albury,2017,3,30.2,15.9
Albury,2018,3,29.6,13.1
Albury,2019,3,28.7,14.3
Albury,2020,3,26.2,13.3
Albury,2021,3,25.7,12.4
Albury,2022,3,27.6,15.2
Albury,2023,3,27.6,14.0
Albury,2024,3,31.2,14.2
Albury,2017,4,22.1,9.0
Albury,2018,4,26.8,9.4
Albury,2019,4,24.7,9.5
Albury,2020,4,20.3,9.3
Albury,2021,4,22.4,7.0
Albury,2022,4,22.5,11.3
Albury,2023,4,21.6,8.7
Albury,2024,4,22.8,8.1
Albury,2017,5,17.3,5.5
Albury,2018,5,18.5,4.8
Albury,2019,5,17.0,6.2
Albury,2020,5,16.3,4.2
Albury,2021,5,18.2,5.3
Albury,2022,5,17.7,6.8
Albury,2023,5,15.8,4.8
Albury,2024,5,19.9,4.6
Albury,2017,6,14.2,1.2
Albury,2018,6,14.5,3.2
Albury,2019,6,14.1,2.1
Albury,2020,6,13.6,3.8
Albury,2021,6,13.7,4.1
Albury,2022,6,13.0,4.7
Albury,2023,6,14.1,5.2
Albury,2024,6,14.8,3.0
Albury,2017,7,13.1,2.3
Albury,2018,7,13.6,1.9
Albury,2019,7,13.6,3.9
Albury,2020,7,13.9,2.8
Albury,2021,7,12.7,4.0
Albury,2022,7,13.9,1.2
Albury,2023,7,14.5,3.9
Albury,2024,7,13.7,2.5
Albury,2017,8,14.1,3.0
Albury,2018,8,14.1,3.0
Albury,2019,8,14.1,2.2
Albury,2020,8,14.4,3.7
Albury,2021,8,15.6,4.1
Albury,2022,8,15.4,5.7
Albury,2023,8,16.6,4.2
Albury,2024,8,17.1,5.4
Albury,2017,9,17.5,4.9
Albury,2018,9,18.6,3.9
Albury,2019,9,18.0,4.5
Albury,2020,9,18.9,6.5
Albury,2021,9,18.2,6.0
Albury,2022,9,17.4,6.7
Albury,2023,9,21.4,5.5
Albury,2024,9,,
Albury,2017,10,23.1,9.1
Albury,2018,10,24.9,8.4
Albury,2019,10,24.3,7.7
Albury,2020,10,22.5,10.4
Albury,2021,10,20.5,7.9
Albury,2022,10,20.7,10.4
Albury,2023,10,21.5,7.4
Albury,2024,10,,
Albury,2017,11,27.7,12.8
Albury,2018,11,26.4,12.0
Albury,2019,11,26.8,10.5
Albury,2020,11,29.2,13.3
Albury,2021,11,23.1,11.8
Albury,2022,11,22.1,10.7
Albury,2023,11,27.2,12.8
Albury,2024,11,,
Albury,2017,12,30.0,15.4
Albury,2018,12,32.6,16.7
Albury,2019,12,32.8,15.4
Albury,2020,12,29.0,12.9
Albury,2021,12,29.0,14.0
Albury,2022,12,27.4,12.8
Albury,2023,12,29.9,15.9
Albury,2024,12,,
